Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Radial_D5.0mm_P2.50mm,2,1uF,
"C10, C11, C12, C13, C14, C3, C4, C5, C6, C9",Capacitor Small Non-Polarised,10,100nF,
"C15, C16",CP_Radial_D8.0mm_P3.80mm,2,10uF,
"CONN1, CONN3",PinHeader_2x04_P2.54mm_Vertical,2,Conn_02x04_Counter_Clockwise_M,
CONN5,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Male,
"CONN6, CONN7",PinHeader_1x03_P2.54mm_Vertical,2,Conn_02x03_M,
"D1, D2, D3, D4",Schottky Diode,4,"type=""D"" model=""DIODE"" lib=""""",
EuroPower1,Eurorack Power Header Unlabeled,1,Eurorack Power,
"IC1, IC2",DIP-14 IC Socket,2,TL074,
IC3,DIP-8 IC Socket,1,MCP6002,
Q1,TO-92,1,2N2222,
"R1, R2, R3, R4, R5, R6",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,6,1K,
"R21, R22, R23",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,3,22K,
"R24, R25, R26",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,3,10K,
"R27, R28, R29, R30, R31, R32, R33, R34",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,8,100K,
"R35, R36, R37, R38, R39, R40",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,6,220K,
REG1,TO-220-3_Vertical,1,L7805,
RPI1,Raspberry Pi Pico,1,Raspberry_Pi_Pico,
