Designator,Footprint,Quantity,Value,LCSC Part #
"C7, C8",Capacitor Small Non-Polarised,2,100nF,
"CONN10, CONN8, CONN9",PinSocket_1x03_P2.54mm_Vertical,3,Conn_02x03_F,
CONN11,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Counter_Clockwise_M,
"CONN2, CONN4",PinSocket_2x04_P2.54mm_Vertical,2,Conn_02x04_Counter_Clockwise_F,
"J1, J2, J3, J4, J5, J6, J7, J8",Thonkiconn Mono Jack,8,Thonkiconn_Mono_Jack,
"JP1, JP2, JP3, JP4",SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,4,SolderJumper_2_Bridged,
"LED1, LED2, LED3, LED4, LED5, LED6",LED 3mm,6,LED,
OLED1,OLED SSD1306 0.91-38mm,1,"OLED SSD1306_0.91""",
"R10, R11, R12, R19, R20, R7, R8, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,8,1K,
"R13, R14, R15, R16, R17, R18",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,6,4K7,
"SW1, SW2",SW_PUSH_6mm,2,SW_Push,
VR1,Potentiometer_RV09,1,KNOB 1,
VR2,Potentiometer_RV09,1,KNOB 2,
