Designator,Mid X,Mid Y,Rotation,Layer
C7,37.23,-47.44,90.0,bottom
C8,2.94,-47.64,90.0,bottom
CONN10,34.69,-11.44,0.0,top
CONN11,8.715,-17.956,180.0,bottom
CONN2,12.956,-19.0092,0.0,bottom
CONN4,37.104,-68.4684,180.0,bottom
CONN8,16.14,-108.09,90.0,bottom
CONN9,29.02,-108.09,90.0,bottom
J1,7.0,-83.0,90.0,top
J2,20.0,-83.0,90.0,top
J3,33.0,-83.0,90.0,top
J4,7.0,-102.0,90.0,top
J5,20.0,-102.0,90.0,top
J6,33.0,-102.0,90.0,top
J7,10.08,-58.83,270.0,top
J8,29.92,-58.89,270.0,top
LED1,7.0,-74.5,0.0,top
LED2,20.0,-74.5,0.0,top
LED3,33.0,-74.5,0.0,top
LED4,7.0,-93.5,0.0,top
LED5,20.0,-93.5,0.0,top
LED6,33.0,-93.5,0.0,top
OLED1,2.5152,-10.3224,0.0,top
R10,2.3368,-104.2416,90.0,bottom
R11,15.0876,-104.2416,90.0,bottom
R12,28.3464,-104.2416,90.0,bottom
R13,11.684,-74.3712,270.0,bottom
R14,24.7396,-74.3712,270.0,bottom
R15,37.6936,-74.3712,270.0,bottom
R16,12.3444,-96.6216,270.0,bottom
R17,24.638,-96.6216,270.0,bottom
R18,37.7444,-96.6216,270.0,bottom
R19,22.0,-50.13,90.0,bottom
R20,18.15,-50.17,90.0,bottom
R7,2.3368,-81.9912,90.0,bottom
R8,15.2908,-81.9912,90.0,bottom
R9,28.2956,-81.9912,90.0,bottom
SW1,6.846,-43.986,0.0,top
SW2,26.6712,-43.986,0.0,top
VR1,7.62,-37.25,90.0,top
VR2,27.31,-37.24,90.0,top
